year,avg_rate
1998,1.2214658333333333
1999,0.9266033333333333
2000,2.6130791666666666
2001,2.850833333333333
2002,0.9525
2003,0.17083333333333334
2004,0.28250000000000003
2005,0.635
2006,1.3316666666666668
2007,2.165
2008,1.5775
2009,0.04166666666666667
2010,0.04916666666666667
2011,0.02416666666666667
2012,-0.014166666666666668
2013,-0.07583333333333334
2014,-0.28583333333333333
2015,-1.1583333333333334
2016,-1.2666666666666666
2017,-0.9791666666666666
2018,-0.94
2019,-0.9641666666666666
2020,-0.8783333333333333
2021,-0.84
2022,-0.3875
2023,1.0483333333333333
