year,avg_rate
1996,5.907905138339921
1997,6.384279475982533
1998,7.281191806331472
1999,5.346676737160121
2000,5.9428746928746925
2001,5.397165697674419
2002,4
2003,3.708154506437768
2004,4.358040201005025
2005,4.647260273972603
2006,4.686111111111111
2007,5.4750922509225095
2008,4.506297229219143
2009,0.6567567567567567
2010,0.5
2011,0.5
2012,0.5
2013,0.5
2014,0.5
2015,0.5
2016,0.3975409836065574
2017,0.2910958904109589
2018,0.6041095890410959
2019,0.75
2020,0.2413135593220339
2021,0.10657534246575343
2022,1.4705479452054795
2023,4.678668478260869
