year,avg_rate
1999,1.7493150684931507
2000,3.0184426229508197
2001,3.2883561643835617
2002,2.2143835616438357
2003,1.2582191780821919
2004,1
2005,1.0178082191780822
2006,1.7602739726027397
2007,2.839041095890411
2008,3.0054644808743167
2009,0.4657534246575342
2010,0.25
2011,0.49931506849315066
2012,0.13114754098360656
2013,0
2014,-0.08684931506849315
2015,-0.2063013698630137
2016,-0.3795081967213115
2017,-0.4
2018,-0.4
2019,-0.42876712328767125
2020,-0.5
2021,-0.5
2022,0.07876712328767123
2023,3.3075342465753423
