year,avg_rate
1996,5.298333333333333
1997,5.46
1998,5.3533333333333335
1999,4.97
2000,6.235833333333333
2001,3.8875
2002,1.6666666666666667
2003,1.1275
2004,1.3491666666666666
2005,3.2133333333333334
2006,4.964166666666666
2007,5.019166666666667
2008,1.9275
2009,0.16
2010,0.175
2011,0.10166666666666667
2012,0.14
2013,0.1075
2014,0.08916666666666667
2015,0.1325
2016,0.395
2017,1.0016666666666667
2018,1.8316666666666666
2019,2.158333333333333
2020,0.37583333333333335
2021,0.08
2022,1.6833333333333333
2023,5.024166666666667
