Date;Group;Series;Value
08/08/2014;Riksbank key interest rates;Policy rate;0,25
11/08/2014;Riksbank key interest rates;Policy rate;0,25
12/08/2014;Riksbank key interest rates;Policy rate;0,25
13/08/2014;Riksbank key interest rates;Policy rate;0,25
14/08/2014;Riksbank key interest rates;Policy rate;0,25
15/08/2014;Riksbank key interest rates;Policy rate;0,25
18/08/2014;Riksbank key interest rates;Policy rate;0,25
19/08/2014;Riksbank key interest rates;Policy rate;0,25
20/08/2014;Riksbank key interest rates;Policy rate;0,25
21/08/2014;Riksbank key interest rates;Policy rate;0,25
22/08/2014;Riksbank key interest rates;Policy rate;0,25
25/08/2014;Riksbank key interest rates;Policy rate;0,25
26/08/2014;Riksbank key interest rates;Policy rate;0,25
27/08/2014;Riksbank key interest rates;Policy rate;0,25
28/08/2014;Riksbank key interest rates;Policy rate;0,25
29/08/2014;Riksbank key interest rates;Policy rate;0,25
01/09/2014;Riksbank key interest rates;Policy rate;0,25
02/09/2014;Riksbank key interest rates;Policy rate;0,25
03/09/2014;Riksbank key interest rates;Policy rate;0,25
04/09/2014;Riksbank key interest rates;Policy rate;0,25
05/09/2014;Riksbank key interest rates;Policy rate;0,25
08/09/2014;Riksbank key interest rates;Policy rate;0,25
09/09/2014;Riksbank key interest rates;Policy rate;0,25
10/09/2014;Riksbank key interest rates;Policy rate;0,25
11/09/2014;Riksbank key interest rates;Policy rate;0,25
12/09/2014;Riksbank key interest rates;Policy rate;0,25
15/09/2014;Riksbank key interest rates;Policy rate;0,25
16/09/2014;Riksbank key interest rates;Policy rate;0,25
17/09/2014;Riksbank key interest rates;Policy rate;0,25
18/09/2014;Riksbank key interest rates;Policy rate;0,25
19/09/2014;Riksbank key interest rates;Policy rate;0,25
22/09/2014;Riksbank key interest rates;Policy rate;0,25
23/09/2014;Riksbank key interest rates;Policy rate;0,25
24/09/2014;Riksbank key interest rates;Policy rate;0,25
25/09/2014;Riksbank key interest rates;Policy rate;0,25
26/09/2014;Riksbank key interest rates;Policy rate;0,25
29/09/2014;Riksbank key interest rates;Policy rate;0,25
30/09/2014;Riksbank key interest rates;Policy rate;0,25
01/10/2014;Riksbank key interest rates;Policy rate;0,25
02/10/2014;Riksbank key interest rates;Policy rate;0,25
03/10/2014;Riksbank key interest rates;Policy rate;0,25
06/10/2014;Riksbank key interest rates;Policy rate;0,25
07/10/2014;Riksbank key interest rates;Policy rate;0,25
08/10/2014;Riksbank key interest rates;Policy rate;0,25
09/10/2014;Riksbank key interest rates;Policy rate;0,25
10/10/2014;Riksbank key interest rates;Policy rate;0,25
13/10/2014;Riksbank key interest rates;Policy rate;0,25
14/10/2014;Riksbank key interest rates;Policy rate;0,25
15/10/2014;Riksbank key interest rates;Policy rate;0,25
16/10/2014;Riksbank key interest rates;Policy rate;0,25
17/10/2014;Riksbank key interest rates;Policy rate;0,25
20/10/2014;Riksbank key interest rates;Policy rate;0,25
21/10/2014;Riksbank key interest rates;Policy rate;0,25
22/10/2014;Riksbank key interest rates;Policy rate;0,25
23/10/2014;Riksbank key interest rates;Policy rate;0,25
24/10/2014;Riksbank key interest rates;Policy rate;0,25
27/10/2014;Riksbank key interest rates;Policy rate;0,25
28/10/2014;Riksbank key interest rates;Policy rate;0,25
29/10/2014;Riksbank key interest rates;Policy rate;0,00
30/10/2014;Riksbank key interest rates;Policy rate;0,00
31/10/2014;Riksbank key interest rates;Policy rate;0,00
03/11/2014;Riksbank key interest rates;Policy rate;0,00
04/11/2014;Riksbank key interest rates;Policy rate;0,00
05/11/2014;Riksbank key interest rates;Policy rate;0,00
06/11/2014;Riksbank key interest rates;Policy rate;0,00
07/11/2014;Riksbank key interest rates;Policy rate;0,00
10/11/2014;Riksbank key interest rates;Policy rate;0,00
11/11/2014;Riksbank key interest rates;Policy rate;0,00
12/11/2014;Riksbank key interest rates;Policy rate;0,00
