DATE,RATE
1992/10/1,10.195
1993/1/1,12.1056
1993/4/1,12.08346154
1993/7/1,9.359545455
1993/10/1,9.826296296
1994/1/1,10.55346154
1994/4/1,11.56269231
1994/7/1,14.196
1994/10/1,17.03230769
1995/1/1,17.36
1995/4/1,14.48
1995/7/1,14.13
1995/10/1,15.27
1996/1/1,15.04
1996/4/1,16.78
1996/7/1,17.22
1996/10/1,16.47
1997/1/1,14.97
1997/4/1,14.69
1997/7/1,14.43
1997/10/1,14.62
1998/1/1,13.54
1998/4/1,12.4
1998/7/1,10.07
1998/10/1,14.55
1999/1/1,14
1999/4/1,12.86
1999/7/1,12.3
1999/10/1,11.96
2000/1/1,10.52
2000/4/1,9.87
2000/7/1,9.43
2000/10/1,8.66
2001/1/1,7.9
2001/4/1,7.3
2001/7/1,6.6
2001/10/1,5.95
2002/1/1,4.6
2002/4/1,6.82
2002/7/1,9.64
2002/10/1,9.64
2003/1/1,9.42
2003/4/1,8.44
2003/7/1,6.82
2003/10/1,5.42
2004/1/1,4.52
2004/4/1,4.28
2004/7/1,4.28
2004/10/1,4.08
2005/1/1,3.66
2005/4/1,3.66
2005/7/1,3.56
2005/10/1,4.6
2006/1/1,4.766129032
2006/4/1,5.25
2006/7/1,5.5
2006/10/1,4.935483871
2007/1/1,4
2007/4/1,3.5
2007/7/1,4
2007/10/1,4.040322581
2008/1/1,3.6693548387096806
2008/4/1,3.5416666666666696
2008/7/1,4.25
2008/10/1,2.5
2009/1/1,0.701612903
2009/4/1,0.5
2009/7/1,0.75
2009/10/1,1.008064516
2010/1/1,1.25
2010/4/1,1.5
2010/7/1,1.75
2010/10/1,2
2011/1/1,2.516129032
2011/4/1,3.25
2011/7/1,3.25
2011/10/1,2.75
2012/1/1,2.5
2012/4/1,2.475
2012/7/1,2.25
2012/10/1,1.9596774193548403
2013/1/1,1.75
2013/4/1,1.25
2013/7/1,1.216666667
2013/10/1,1
2014/1/1,0.75
2014/4/1,0.75
2014/7/1,0.25
2014/10/1,0.25
2015/1/1,0.1
2015/4/1,0.1
2015/7/1,0.1
2015/10/1,0.1
2016/1/1,0.1
2016/4/1,0.1
2016/7/1,0.1
2016/10/1,0.1
2017/1/1,0.1
2017/4/1,0.1
2017/7/1,0.1
2017/10/1,0.1
2018/1/1,0.1
2018/4/1,0.1
2018/7/1,0.1
2018/10/1,0.25
2019/1/1,0.25
2019/4/1,0.25
2019/7/1,0.25
2019/10/1,0.25
2020/1/1,0.25
2020/4/1,0.1
2020/7/1,0.1
2020/10/1,0.1
2021/1/1,0.1
2021/4/1,0.1
2021/7/1,0.1
2021/10/1,0.1
2022/1/1,0.1
2022/4/1,0.75
2022/7/1,2
2022/10/1,3.25
2023/1/1,4.25
2023/4/1,4.75
2023/7/1,4.75
2023/10/1,4.75
2024/1/1,4.5
2024/4/1,4.5
