DATE,RATE
1972/1/1,0
1972/2/1,0
1972/3/1,0.036765
1972/4/1,0.334821
1972/5/1,0.825
1972/6/1,1.4375
1972/7/1,0.8362069999999999
1972/8/1,0.049242
1972/9/1,0.396552
1972/10/1,1.50833
1972/11/1,2.32422
1972/12/1,3.26613
1973/1/1,3.89224
1973/2/1,3.375
1973/3/1,1.25781
1973/4/1,1.54167
1973/5/1,0.449219
1973/6/1,1.06466
1973/7/1,1.99194
1973/8/1,1.71875
1973/9/1,3.03571
1973/10/1,2.54839
1973/11/1,6.632810000000001
1973/12/1,3.78226
1974/1/1,8.04839
1974/2/1,4.97321
1974/3/1,5.50862
1974/4/1,6.661289999999999
1974/5/1,4.63636
1974/6/1,9.75
1974/7/1,7.8308800000000005
1974/8/1,6.87069
1974/9/1,4.51724
1974/10/1,2.4243900000000003
1974/11/1,4.1637900000000005
1974/12/1,4.85294
1975/1/1,2.69397
1975/2/1,1.0714299999999999
1975/3/1,1.1637899999999999
1975/4/1,2.95455
1975/5/1,2.91379
1975/6/1,0.5775859999999999
1975/7/1,3.2941199999999995
1975/8/1,0.9776790000000001
1975/9/1,1.5875
1975/10/1,0.890152
1975/11/1,0.8125
1975/12/1,1.0357100000000001
1976/1/1,0.508929
1976/2/1,0.785714
1976/3/1,0.9798389999999999
1976/4/1,0.457031
1976/5/1,0.62931
1976/6/1,0.366667
1976/7/1,1.12891
1976/8/1,0.745833
1976/9/1,0.6367189999999999
1976/10/1,1.5819
1976/11/1,0.941667
1976/12/1,0.363636
1977/1/1,0.75
1977/2/1,2.29018
1977/3/1,1.8257599999999998
1977/4/1,2.98707
1977/5/1,3.02083
1977/6/1,2.35547
1977/7/1,1.7791700000000001
1977/8/1,0.925
1977/9/1,1.4804700000000002
1977/10/1,0.969828
1977/11/1,1.57708
1977/12/1,0.583333
1978/1/1,0.008621
1978/2/1,0
1978/3/1,0.43181800000000004
1978/4/1,0.025862
1978/5/1,0.78125
1978/6/1,0.8691409999999999
1978/7/1,1.7791700000000001
1978/8/1,0.412109
1978/9/1,0.224138
1978/10/1,-0.2625
1978/11/1,-0.09375
1978/12/1,-0.155242
1979/1/1,-0.203664
1979/2/1,-0.287946
1979/3/1,0.001953
1979/4/1,0.879167
1979/5/1,1.02083
1979/6/1,0.90625
1979/7/1,0.733871
1979/8/1,0.751953
1979/9/1,1.20536
1979/10/1,1.2409299999999999
1979/11/1,1.43359
1979/12/1,7.3871
1980/1/1,2.23185
1980/2/1,0.969828
1980/3/1,3.32974
1980/4/1,4.66856
1980/5/1,3.29526
1980/6/1,3.44181
1980/7/1,4.04228
1980/8/1,6.16071
1980/9/1,1.40625
1980/10/1,1.63447
1980/11/1,3.91741
1980/12/1,0.9875
1981/1/1,3.73884
1981/2/1,4.52455
1981/3/1,5.049580000000001
1981/4/1,8.29545
1981/5/1,5.14509
1981/6/1,6.875
1981/7/1,4.2178
1981/8/1,5.0819
1981/9/1,9.57917
1981/10/1,8.49805
