Country Name,Country Code,Indicator Name,Indicator Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP (current LCU),NY.GDP.MKTP.CN,2470000000,2742000000,2981000000,3084000000,3353480000,3394658000,3511700000,3658960000,4036147000,4224431000,4420911000,4792978000,5089014000,4571290000,4391939000,4721768000,4681223000,4882851000,4995621000,5303604000,5340707000,5535448000,5864370000,6078480000,4580442284,5554699542,6345026941,
Africa Eastern and Southern,AFE,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,,,,,1.67044E+11,1.33475E+11,1.82163E+11,2.21359E+11,2.49792E+11,3.08163E+11,3.48048E+11,4.85419E+11,5.15047E+11,6.11692E+11,7.26231E+11,8.50347E+11,1.02879E+12,1.13881E+12,1.17647E+12,1.22276E+12,1.22292E+12,1.28546E+12,1.32769E+12,1.4696E+12,1.53497E+12,1.25117E+12,1.28344E+12,
Africa Western and Central,AFW,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP (current LCU),NY.GDP.MKTP.CN,835493000,1751785000,2555800000,17171000000,91666100000,1.97111E+11,6.65385E+11,1.32894E+12,1.96757E+12,3.22235E+12,4.20976E+12,5.00634E+12,6.64335E+12,5.57734E+12,7.70165E+12,1.05009E+13,1.2225E+13,1.3195E+13,1.43239E+13,1.39503E+13,1.65496E+13,2.02623E+13,2.56277E+13,3.03304E+13,3.17008E+13,4.45359E+13,5.2184E+13,6.19188E+13
Albania,ALB,GDP (current LCU),NY.GDP.MKTP.CN,3.34359E+11,3.31324E+11,3.84848E+11,4.43594E+11,5.01199E+11,5.63449E+11,6.10494E+11,6.77738E+11,7.37656E+11,8.04163E+11,8.72735E+11,9.65528E+11,1.08068E+12,1.14394E+12,1.23965E+12,1.30062E+12,1.33281E+12,1.35005E+12,1.39531E+12,1.43431E+12,1.47248E+12,1.55065E+12,1.63673E+12,1.6919E+12,1.64743E+12,1.85617E+12,2.13834E+12,2.31259E+12
Andorra,AND,GDP (current LCU),NY.GDP.MKTP.CN,931789600,1038925600,1088194100,1163747900,1551090000,1728690000,1865830000,2092490000,2331570000,2540880000,2755130000,2887770000,2789260000,2644840000,2602310000,2607220000,2481850000,2404540000,2462690000,2514510000,2616860000,2655760000,2725270000,2818420000,2531090000,2811000000,3210300000,3447500000
Arab World,ARB,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP (current LCU),NY.GDP.MKTP.CN,2.7008E+11,2.89418E+11,2.77914E+11,3.10126E+11,3.83179E+11,3.79412E+11,4.033E+11,4.56662E+11,5.42885E+11,6.63318E+11,8.15723E+11,9.47197E+11,1.15858E+12,9.31153E+11,1.10244E+12,1.32516E+12,1.41248E+12,1.4698E+12,1.5208E+12,1.35984E+12,1.35609E+12,1.43417E+12,1.56834E+12,1.53507E+12,1.28344E+12,1.52474E+12,1.86219E+12,1.85158E+12
Argentina,ARG,GDP (current LCU),NY.GDP.MKTP.CN,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,3.1258E+11,3.7591E+11,4.85115E+11,5.82538E+11,7.15904E+11,8.9698E+11,1.14965E+12,1.24793E+12,1.66172E+12,2.17902E+12,2.63791E+12,3.34831E+12,4.57909E+12,5.95451E+12,8.22816E+12,1.06602E+13,1.47448E+13,2.15584E+13,2.72098E+13,4.63462E+13,8.24364E+13,1.8978E+14
